ParticipantID,Mean_Accuracy,Mean_RT,Num_Trials,Condition
22,100.0,1176.3469586666636,15,Multiple_Lab
23,96.0,1221.3411823333406,15,Multiple_Lab
24,100.0,1429.746317333326,15,Multiple_Lab
25,100.0,1359.3803306666814,15,Multiple_Lab
26,100.0,1332.3168173333397,15,Multiple_Lab
27,97.33333333333333,1312.7722863333324,15,Multiple_Lab
28,98.66666666666667,1224.3603866666679,15,Multiple_Lab
29,92.0,1160.0773256666714,15,Multiple_Lab
30,98.66666666666667,1474.3948866666492,15,Multiple_Lab
31,100.0,1175.4648186666661,15,Multiple_Lab
32,45.333333333333336,1355.352778666668,15,Multiple_Lab
33,94.66666666666667,1365.7780206666673,15,Multiple_Lab
34,98.66666666666667,1278.5308960000004,15,Multiple_Lab
35,100.0,1329.8163066666712,15,Multiple_Lab
36,100.0,1418.6187522222242,15,Multiple_Lab
37,100.0,2087.3767087618976,15,Multiple_Lab
