target_col,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instrTxt.started,startMouse.started,instructions.stopped,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,trial.started,square.started,mouse.started,trial_counter.started,instruct.started,trial.stopped,click_times,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,fb.started,trial_counter_2.started,feedback.stopped,fb.stopped,trial_counter_2.stopped,thanks.started,endMsg.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 45,source_file
red,3.0,0.0,9.0,2.0,73.4928109,,,,,,,,,,,73.38416940000002,73.4928109,0.0814503999999942,73.4928109,73.4928109,78.61097889999996,"[1.124162100000035, 2.1324644000000035, 3.603045100000031, 3.9399190000000317, 5.225671000000034]","[-0.13666666666666666, -0.03944444444444444, 0.08666666666666667, -0.020555555555555556, -0.08388888888888889]","[0.18166666666666667, 0.245, -0.12277777777777778, -0.04055555555555555, -0.18666666666666668]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.0489409000000478, 2.472115600000052, 3.527739800000063, 4.2987435000000005, 5.1503254000000425]","['target_2', 'target_0', 'target_4', 'target_1', 'target_3']",78.61164250000002,78.6201423,78.6201423,79.61603530000002,,,,,sahithi,1.0,2026-02-06_13h34.07.839,visual_search,2024.1.5,,2026-02-06 13h34.27.092673 +0530,,22_visual_search_2026-02-06_13h34.07.839.csv
white,3.0,1.0,10.0,1.0,79.72157949999996,,,,,,,,,,,79.6165009,79.72157949999996,0.0809401000000207,79.72157949999996,79.72157949999996,84.53317000000004,"[1.1816107000000784, 1.492798700000094, 2.95004670000003, 3.965325900000039, 4.919798200000059]","[-0.06833333333333333, 0.052222222222222225, -0.04, 0.034444444444444444, 0.10055555555555555]","[0.08055555555555556, 0.12166666666666667, 0.21555555555555556, -0.027777777777777776, -0.1238888888888889]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.105545799999959, 1.9934891000000334, 2.873222499999997, 3.8885186999999632, 4.842562899999962]","['target_4', 'target_2', 'target_1', 'target_0', 'target_3']",84.53380949999996,84.54190559999995,84.54190559999995,85.53236100000004,85.64050739999993,85.64050739999993,,,sahithi,1.0,2026-02-06_13h34.07.839,visual_search,2024.1.5,,2026-02-06 13h34.27.092673 +0530,,22_visual_search_2026-02-06_13h34.07.839.csv
white,3.0,2.0,11.0,0.0,85.64050739999993,,,,,,,,,,,85.53285540000002,85.64050739999993,0.0787522999999055,85.64050739999993,85.64050739999993,90.9932053,"[1.3698900999999069, 2.0067878999999493, 2.698879099999999, 4.19428819999996, 5.457449199999928]","[-0.12555555555555556, -0.13555555555555557, 0.026111111111111113, -0.05611111111111111, 0.22]","[0.20944444444444443, 0.08388888888888889, 0.007222222222222222, -0.17166666666666666, -0.2727777777777778]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.2955091999999695, 2.2484750999999505, 3.2062192999999297, 4.119178099999999, 5.382314999999949]","['target_1', 'target_2', 'target_4', 'target_3', 'target_0']",90.99435170000004,91.00346030000004,91.00346030000004,91.99768599999992,,,,,sahithi,1.0,2026-02-06_13h34.07.839,visual_search,2024.1.5,,2026-02-06 13h34.27.092673 +0530,,22_visual_search_2026-02-06_13h34.07.839.csv
white,4.0,0.0,12.0,0.0,92.1084571,,,,,,,,,,,91.99808840000004,92.1084571,0.0859803999999258,92.1084571,92.1084571,97.5379107,"[1.7102760999999873, 2.298965399999929, 3.6117527999999766, 4.627092999999945, 5.54078770000001]","[-0.03611111111111111, 0.09388888888888888, 0.2222222222222222, 0.21611111111111111, -0.13777777777777778]","[0.15166666666666667, 0.17277777777777778, 0.02666666666666667, -0.17555555555555555, 0.019444444444444445]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.628288100000077, 2.5481693000000405, 3.5292996000000585, 4.544532100000083, 5.45878730000004]","['target_2', 'target_1', 'target_0', 'target_4', 'target_3']",97.53872190000004,97.55012350000004,97.55012350000004,98.54677659999992,,,,,sahithi,1.0,2026-02-06_13h34.07.839,visual_search,2024.1.5,,2026-02-06 13h34.27.092673 +0530,,22_visual_search_2026-02-06_13h34.07.839.csv
red,4.0,1.0,13.0,2.0,98.64720020000004,,,,,,,,,,,98.54707580000002,98.64720020000004,0.0740198000000873,98.64720020000004,98.64720020000004,102.95394729999998,"[1.106181300000003, 1.445875000000001, 2.477971700000012, 3.114157700000078, 4.413635200000044]","[-0.16277777777777777, 0.058333333333333334, 0.17944444444444443, 0.21944444444444444, -0.21666666666666667]","[0.20944444444444443, 0.17555555555555555, -0.012777777777777779, -0.10277777777777777, -0.06555555555555556]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.0366807000000335, 1.7790591000000404, 2.7752174999999397, 3.5044160999999576, 4.343582900000001]","['target_1', 'target_4', 'target_3', 'target_2', 'target_0']",102.9549925,102.96455319999995,102.96455319999995,103.96271809999996,,,,,sahithi,1.0,2026-02-06_13h34.07.839,visual_search,2024.1.5,,2026-02-06 13h34.27.092673 +0530,,22_visual_search_2026-02-06_13h34.07.839.csv
white,4.0,2.0,14.0,1.0,104.0551597,,,,,,,,,,,103.96318889999998,104.0551597,0.0788226999999324,104.0551597,104.0551597,110.21607919999995,"[1.174539799999934, 2.9518039999999246, 4.2996912999999495, 5.247823999999923, 6.259428099999923]","[-0.23444444444444446, 0.16666666666666666, 0.06777777777777778, 0.011111111111111112, -0.20944444444444443]","[0.22611111111111112, 0.16111111111111112, -0.12333333333333334, -0.18388888888888888, -0.059444444444444446]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.0996125000000347, 2.876263100000074, 4.224142900000061, 5.1723367000000735, 6.183710799999972]","['target_1', 'target_2', 'target_0', 'target_4', 'target_3']",110.2167872,110.22526900000004,110.22526900000004,111.2121985,111.23531219999995,111.23531219999995,,,sahithi,1.0,2026-02-06_13h34.07.839,visual_search,2024.1.5,,2026-02-06 13h34.27.092673 +0530,,22_visual_search_2026-02-06_13h34.07.839.csv
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.21226849999994,111.23531219999995,,,,,,,,,22_visual_search_2026-02-06_13h34.07.839.csv
,,,,,,,0.0082750000001396,0.0149741000000176,0.0077744999998685,15.91613180000013,-0.1105555555555555,0.1322222222222222,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,23.0,1.0,2026-02-06_13h54.30.043,visual_search,2024.1.5,,2026-02-06 13h54.43.310633 +0530,,23_visual_search_2026-02-06_13h54.30.043.csv
white,0.0,0.0,0.0,0.0,16.019408399999975,,,,,,,,,,,15.927142400000092,16.019408399999975,0.0774066999999831,16.019408399999975,16.019408399999975,22.627099100000123,"[1.8353147000000263, 2.9395113000000492, 4.380884599999945, 5.4346539999999095, 6.7091281999998955]","[-0.01, 0.0005555555555555556, -0.24333333333333335, -0.20722222222222222, 0.17722222222222223]","[0.15611111111111112, 0.07277777777777777, -0.10388888888888889, -0.18555555555555556, -0.07777777777777778]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.7644357000001492, 2.8686365000000933, 4.309991100000161, 5.363755700000183, 6.638215200000104]","['target_0', 'target_2', 'target_1', 'target_4', 'target_3']",22.62814389999994,22.64367500000003,22.64367500000003,23.630713300000025,,,,,23.0,1.0,2026-02-06_13h54.30.043,visual_search,2024.1.5,,2026-02-06 13h54.43.310633 +0530,,23_visual_search_2026-02-06_13h54.30.043.csv
red,0.0,1.0,1.0,2.0,23.725065600000107,,,,,,,,,,,23.63164499999993,23.725065600000107,0.0702765999999428,23.725065600000107,23.725065600000107,29.44005970000012,"[1.619805099999894, 2.629086799999868, 3.596192399999836, 3.9729555999999775, 5.810350399999834]","[-0.04888888888888889, 0.011666666666666667, 0.23777777777777778, 0.18611111111111112, -0.1288888888888889]","[0.1638888888888889, 0.09222222222222222, 0.11166666666666666, -0.2127777777777778, -0.16833333333333333]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.5522702999999183, 2.561397199999874, 3.5285105000000385, 4.540472299999919, 5.742651099999875]","['target_3', 'target_1', 'target_0', 'target_2', 'target_4']",29.44071299999996,29.44840369999997,29.44840369999997,30.44663349999996,,,,,23.0,1.0,2026-02-06_13h54.30.043,visual_search,2024.1.5,,2026-02-06 13h54.43.310633 +0530,,23_visual_search_2026-02-06_13h54.30.043.csv
