target_col,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instrTxt.started,startMouse.started,instructions.stopped,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,trial.started,square.started,mouse.started,trial_counter.started,target.started,instruct.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,feedback.started,fb.started,trial_counter_2.started,feedback.stopped,fb.stopped,trial_counter_2.stopped,thanks.started,endMsg.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,Unnamed: 56,source_file,thanks.stopped,Unnamed: 46,Unnamed: 44,Unnamed: 54
red,9.0,0.0,3.0,[-0.11833333333333333],[0.12],[1],[0],[0],[1.1755370000000767],"['target', 'target']",3.0,0.0,9.0,2.0,40.438737099999344,,,,,,,,,,,40.42571119999957,40.438737099999344,0.05688310000005,40.438737099999344,40.438737099999344,40.438737099999344,41.60220069999923,[-0.11833333333333333],[0.12],[1],[0],[0],[1.1755370000000767],"['target', 'target']",41.61039660000006,41.6164762999997,41.6164762999997,42.60304079999969,42.66243339999983,42.66243339999983,,,10.0,1.0,2026-02-04_09h40.03.955,visual_search,,2025.2.4,59.860345813196105,2026-02-04 09h40.04.124925 +0530,,10_visual_search_2026-02-04_09h39.54.454.csv,,,,
white,10.0,1.0,3.0,[0.0811111111111111],[-0.042222222222222223],[1],[0],[0],[1.1358372999993662],"['target', 'target']",3.0,1.0,10.0,0.0,42.66243339999983,,,,,,,,,,,42.65158840000004,42.66243339999983,0.0491900999995778,42.66243339999983,42.66243339999983,42.66243339999983,43.7883554,[0.0811111111111111],[-0.042222222222222223],[1],[0],[0],[1.1358372999993662],"['target', 'target']",43.79736289999983,43.80321089999961,43.80321089999961,44.8019703,,,,,10.0,1.0,2026-02-04_09h40.03.955,visual_search,,2025.2.4,59.860345813196105,2026-02-04 09h40.04.124925 +0530,,10_visual_search_2026-02-04_09h39.54.454.csv,,,,
white,11.0,2.0,3.0,[-0.10222222222222223],[0.041666666666666664],[1],[0],[0],[1.2468189000001075],"['target', 'target']",3.0,2.0,11.0,1.0,44.85131060000003,,,,,,,,,,,44.83946789999936,44.85131060000003,0.0508229999995819,44.85131060000003,44.85131060000003,44.85131060000003,46.08727259999978,[-0.10222222222222223],[0.041666666666666664],[1],[0],[0],[1.2468189000001075],"['target', 'target']",46.096384299999954,46.10179019999941,46.10179019999941,47.08614689999922,47.1356452,47.1356452,,,10.0,1.0,2026-02-04_09h40.03.955,visual_search,,2025.2.4,59.860345813196105,2026-02-04 09h40.04.124925 +0530,,10_visual_search_2026-02-04_09h39.54.454.csv,,,,
white,12.0,0.0,4.0,[0.021666666666666667],[0.22333333333333333],[1],[0],[0],[1.2815300000002026],"['target', 'target']",4.0,0.0,12.0,1.0,47.1356452,,,,,,,,,,,47.12348989999919,47.1356452,0.0359692000001814,47.1356452,47.1356452,47.1356452,48.40603589999955,[0.021666666666666667],[0.22333333333333333],[1],[0],[0],[1.2815300000002026],"['target', 'target']",48.417863199999374,48.42467570000008,48.42467570000008,49.41956969999956,,,,,10.0,1.0,2026-02-04_09h40.03.955,visual_search,,2025.2.4,59.860345813196105,2026-02-04 09h40.04.124925 +0530,,10_visual_search_2026-02-04_09h39.54.454.csv,,,,
white,13.0,1.0,4.0,[-0.13833333333333334],[0.115],[1],[0],[0],[1.166939700000512],"['target', 'target']",4.0,1.0,13.0,0.0,49.46719679999933,,,,,,,,,,,49.45564419999937,49.46719679999933,0.0493078999998033,49.46719679999933,49.46719679999933,49.46719679999933,50.62346569999954,[-0.13833333333333334],[0.115],[1],[0],[0],[1.166939700000512],"['target', 'target']",50.63199899999927,50.63777639999989,50.63777639999989,51.622451599999295,51.68001469999945,51.68001469999945,,,10.0,1.0,2026-02-04_09h40.03.955,visual_search,,2025.2.4,59.860345813196105,2026-02-04 09h40.04.124925 +0530,,10_visual_search_2026-02-04_09h39.54.454.csv,,,,
red,14.0,2.0,4.0,[-0.09],[-0.03944444444444444],[1],[0],[0],[1.076217099999667],"['target', 'target']",4.0,2.0,14.0,2.0,51.68001469999945,,,,,,,,,,,51.66434509999999,51.68001469999945,0.0406376999999338,51.68001469999945,51.68001469999945,51.68001469999945,52.74166679999962,[-0.09],[-0.03944444444444444],[1],[0],[0],[1.076217099999667],"['target', 'target']",52.74992369999927,52.75516769999922,52.75516769999922,53.73901380000007,53.754250499999216,53.754250499999216,,,10.0,1.0,2026-02-04_09h40.03.955,visual_search,,2025.2.4,59.860345813196105,2026-02-04 09h40.04.124925 +0530,,10_visual_search_2026-02-04_09h39.54.454.csv,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.745033899999726,53.754250499999216,,,,,,,,,,10_visual_search_2026-02-04_09h39.54.454.csv,,,,
,,,,,,,,,,,,,,,,,0.0034316999999646,0.0078563999995822,0.003111600000011,4.790109099999427,0.0722222222222222,-0.2755555555555555,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,11.0,1.0,2026-02-04_09h58.44.739,visual_search,,2025.2.4,59.96001865952517,2026-02-04 09h58.44.853571 +0530,,11_visual_search_2026-02-04_09h58.33.857.csv,,,,
white,0.0,0.0,0.0,[-0.18444444444444444],[0.12166666666666667],[1],[0],[0],[1.5846288999991884],"['target', 'target']",0.0,0.0,0.0,0.0,4.852898499999355,,,,,,,,,,,4.83890159999919,4.852898499999355,0.048612999999932,4.852898499999355,4.852898499999355,4.852898499999355,6.424601299999267,[-0.18444444444444444],[0.12166666666666667],[1],[0],[0],[1.5846288999991884],"['target', 'target']",6.439975599999343,6.4457635999997365,6.4457635999997365,7.439272399999936,,,,,11.0,1.0,2026-02-04_09h58.44.739,visual_search,,2025.2.4,59.96001865952517,2026-02-04 09h58.44.853571 +0530,,11_visual_search_2026-02-04_09h58.33.857.csv,,,,
white,1.0,1.0,0.0,[-0.06888888888888889],[0.1922222222222222],[1],[0],[0],[1.4616648000001078],"['target', 'target']",0.0,1.0,1.0,1.0,7.491826799999217,,,,,,,,,,,7.479788599999665,7.491826799999217,0.0548735000002125,7.491826799999217,7.491826799999217,7.491826799999217,8.94235739999931,[-0.06888888888888889],[0.1922222222222222],[1],[0],[0],[1.4616648000001078],"['target', 'target']",8.954632599999968,8.95942179999929,8.95942179999929,9.956969599999866,,,,,11.0,1.0,2026-02-04_09h58.44.739,visual_search,,2025.2.4,59.96001865952517,2026-02-04 09h58.44.853571 +0530,,11_visual_search_2026-02-04_09h58.33.857.csv,,,,
