Source,SS,df_effect,df_error,MS,F,p,partial_eta2,Significant
Target Load (Between),15929706.439237995,1,32,15929706.439237995,125.33639514960007,1.3343770532969756e-12,0.7966141275222846,True
Modality (Within),10788402.001018854,1,32,10788402.001018854,127.33033031689558,1.089239809459741e-12,0.7991593945964055,True
Load x Modality (Interaction),9526950.3572661,1,32,9526950.3572661,112.44202207044167,5.297762228906322e-12,0.7784578231368555,True
