Level,Mean_RT,SD_RT,Mean_Accuracy,SD_Accuracy,N
1,1620.6190476190477,780.5734735558515,100.0,0.0,21
2,1157.1190476190477,144.72196660855468,100.0,0.0,21
3,1869.7301587301588,1083.1147503537481,100.0,0.0,21
4,2803.7936507936506,1422.2103551092202,95.67450793650794,14.390840098872713,21
5,1876.047619047619,505.0156904681751,100.0,0.0,21
6,1995.1904761904761,699.3213581071021,100.0,0.0,21
7,3294.0555555555557,2037.1218253902935,93.65063492063493,17.189236219185013,21
8,1732.904761904762,394.6113156970926,100.0,0.0,21
9,1801.0238095238096,703.6671883104697,100.0,0.0,21
10,4516.222222222223,2385.3032170013603,96.03158730158731,14.818826524955327,21
11,3658.9761904761904,3025.6236814754016,94.44444444444444,17.743021580745907,21
12,3462.8333333333335,2025.880100927331,100.0,0.0,21
13,4029.293650793651,2661.203525195551,88.70357142857144,17.202992555283593,21
14,4592.119047619048,2702.667052675754,95.23809523809524,15.03963018795596,21
15,6204.857142857143,2947.719123079984,92.4602380952381,16.646942697999418,21
