Condition,Metric,Original_Skewness,Original_SW_p,Original_Normal,Best_Transform,Transformed_SW_p,Transformed_Normal,Transformed_Skewness
Single_Phone,Mean_Accuracy,-1.4209840675172916,0.0001798806212639123,False,log10(101.00 - x),0.002345564394881168,False,0.23141451174021666
Single_Lab,Mean_Accuracy,,1.0,True,None (already normal),1.0,True,
Multiple_Phone,Mean_Accuracy,-0.24794457550202126,0.6981101713539707,True,None (already normal),0.6981101713539707,True,-0.24794457550202126
Multiple_Lab,Mean_Accuracy,-1.4350313852561363,0.0012503052817601386,False,log10(101.00 - x),0.006832243771357829,False,0.6303522203173716
Single_Phone,Mean_RT,0.4717711512164271,0.28694951590997486,True,None (already normal),0.28694951590997486,True,0.4717711512164271
Single_Lab,Mean_RT,0.049562989239414657,0.8834576945600169,True,None (already normal),0.8834576945600169,True,0.049562989239414657
Multiple_Phone,Mean_RT,0.7031956870220424,0.1065848449673037,True,None (already normal),0.1065848449673037,True,0.7031956870220424
Multiple_Lab,Mean_RT,0.04068230449572653,0.5280077844215492,True,None (already normal),0.5280077844215492,True,0.04068230449572653
