ParticipantID,Mean_Accuracy,Mean_RT,Num_Trials,Condition
1,100.0,3107.333333333333,15,Single_Phone
2,95.833125,3729.125,16,Single_Phone
3,96.875,2287.0625,16,Single_Phone
4,96.875,2837.5625,16,Single_Phone
5,81.75421052631579,3696.7894736842095,19,Single_Phone
6,83.27615384615385,3148.4615384615386,39,Single_Phone
7,100.0,3064.4666666666667,15,Single_Phone
8,87.26833333333333,2435.555555555556,18,Single_Phone
9,100.0,2686.2,15,Single_Phone
10,96.66666666666669,2967.6,15,Single_Phone
11,100.0,2604.333333333333,15,Single_Phone
12,91.11066666666667,2649.333333333333,15,Single_Phone
13,100.0,2900.133333333333,15,Single_Phone
14,93.33333333333331,3793.866666666667,15,Single_Phone
15,95.0,2116.8125,16,Single_Phone
16,100.0,2696.9333333333334,15,Single_Phone
17,100.0,2426.733333333333,15,Single_Phone
18,96.875,2616.75,16,Single_Phone
19,96.66666666666669,2887.4666666666667,15,Single_Phone
20,100.0,3487.9333333333334,15,Single_Phone
21,100.0,3968.2,15,Single_Phone
2,100.0,1865.4243666667755,15,Single_Lab
3,100.0,1762.399106666756,15,Single_Lab
4,100.0,1452.9313866655382,15,Single_Lab
5,100.0,1540.2571933329457,15,Single_Lab
6,100.0,1602.0891066684271,15,Single_Lab
7,100.0,1510.7701933333224,15,Single_Lab
8,100.0,1547.0682333333418,15,Single_Lab
9,100.0,1363.1837733333366,15,Single_Lab
10,100.0,1429.9736733333702,15,Single_Lab
11,100.0,1431.5763866666505,15,Single_Lab
12,100.0,1507.9863200000011,15,Single_Lab
13,100.0,1391.2566666665953,15,Single_Lab
14,100.0,1640.1328133333325,15,Single_Lab
15,100.0,1338.1374399999988,15,Single_Lab
16,100.0,1766.1829400000138,15,Single_Lab
17,100.0,1160.4643666668078,15,Single_Lab
18,100.0,1542.302046666373,15,Single_Lab
19,100.0,1649.9751800006682,15,Single_Lab
20,100.0,1492.9917733335362,15,Single_Lab
21,100.0,1547.1590666663058,15,Single_Lab
22,94.094,1325.7915766178266,20,Multiple_Phone
23,95.68416666666668,1207.5086233211234,12,Multiple_Phone
24,97.37333333333332,1815.123148148148,12,Multiple_Phone
25,100.0,810.9986111111111,10,Multiple_Phone
26,96.60454545454546,1161.836324786325,11,Multiple_Phone
27,96.1190909090909,1179.697863247863,11,Multiple_Phone
28,100.0,1223.5729828042329,12,Multiple_Phone
29,98.25727272727272,1107.971250971251,11,Multiple_Phone
30,94.14357142857143,1324.139739229025,14,Multiple_Phone
31,99.39363636363636,888.2837412587413,11,Multiple_Phone
32,93.56,1286.113906926407,12,Multiple_Phone
33,96.57615384615384,1197.78885003885,13,Multiple_Phone
34,96.023,1292.876507936508,10,Multiple_Phone
35,98.69454545454546,1350.3349567099567,11,Multiple_Phone
36,94.34833333333334,999.22457010582,12,Multiple_Phone
37,91.08076923076922,891.883608058608,13,Multiple_Phone
22,100.0,1176.3469586666636,15,Multiple_Lab
23,96.0,1221.3411823333406,15,Multiple_Lab
24,100.0,1429.746317333326,15,Multiple_Lab
25,100.0,1359.3803306666814,15,Multiple_Lab
26,100.0,1332.3168173333397,15,Multiple_Lab
27,97.33333333333331,1312.7722863333324,15,Multiple_Lab
28,98.66666666666669,1224.360386666668,15,Multiple_Lab
29,92.0,1160.0773256666714,15,Multiple_Lab
30,98.66666666666669,1474.3948866666492,15,Multiple_Lab
31,100.0,1175.464818666666,15,Multiple_Lab
33,94.66666666666669,1365.778020666667,15,Multiple_Lab
34,98.66666666666669,1278.5308960000004,15,Multiple_Lab
35,100.0,1329.8163066666712,15,Multiple_Lab
36,100.0,1418.6187522222242,15,Multiple_Lab
