ParticipantID,Mean_Accuracy,Mean_RT,Num_Trials,Condition
22,100.0,5881.734793333317,15,Multiple_Lab
23,96.0,5869.249966666696,15,Multiple_Lab
24,100.0,7148.73158666663,15,Multiple_Lab
25,100.0,6796.901653333407,15,Multiple_Lab
26,100.0,6661.584086666699,15,Multiple_Lab
27,97.33333333333333,6380.89251333333,15,Multiple_Lab
28,98.66666666666667,6048.924986666671,15,Multiple_Lab
29,92.0,5248.287420000027,15,Multiple_Lab
30,98.66666666666667,7300.768506666585,15,Multiple_Lab
31,100.0,5877.32409333333,15,Multiple_Lab
32,45.333333333333336,3055.45015333333,15,Multiple_Lab
33,94.66666666666667,6445.165453333334,15,Multiple_Lab
34,98.66666666666667,6308.906466666667,15,Multiple_Lab
35,100.0,6649.081533333356,15,Multiple_Lab
36,100.0,7171.630293333344,15,Multiple_Lab
37,100.0,10606.513019999966,15,Multiple_Lab
