ParticipantID,Mean_Accuracy,Mean_RT,Num_Trials,Condition
22,94.09400000000001,1480.75,20,Multiple_Phone
23,95.68416666666667,1969.4166666666667,12,Multiple_Phone
24,97.37333333333333,3120.4166666666665,12,Multiple_Phone
25,100.0,1176.7,10,Multiple_Phone
26,96.60454545454546,2160.7272727272725,11,Multiple_Phone
27,96.1190909090909,2547.7272727272725,11,Multiple_Phone
28,100.0,1685.25,12,Multiple_Phone
29,98.25727272727272,1746.090909090909,11,Multiple_Phone
30,94.14357142857143,1656.4285714285713,14,Multiple_Phone
31,99.39363636363636,1490.0,11,Multiple_Phone
32,93.56,1700.0833333333333,12,Multiple_Phone
33,96.57615384615384,1657.4615384615386,13,Multiple_Phone
34,96.023,2219.3,10,Multiple_Phone
35,98.69454545454546,1738.1818181818182,11,Multiple_Phone
36,94.34833333333334,2218.8333333333335,12,Multiple_Phone
37,91.08076923076922,1135.923076923077,13,Multiple_Phone
