ParticipantID,TargetLoad,Game,Lab
1,Single,3107.3333333333335,2331.349806667034
2,Single,3729.125,1865.4243666667753
3,Single,2287.0625,1762.399106666756
4,Single,2837.5625,1452.9313866655382
5,Single,3696.7894736842104,1540.2571933329455
6,Single,3148.4615384615386,1602.0891066684271
7,Single,3064.4666666666667,1510.7701933333221
8,Single,2435.5555555555557,1547.068233333342
9,Single,2686.2,1363.1837733333366
10,Single,2967.6,1429.9736733333702
11,Single,2604.3333333333335,1431.5763866666505
12,Single,2649.3333333333335,1507.9863200000013
13,Single,2900.133333333333,1391.2566666665953
14,Single,3793.866666666667,1640.1328133333323
15,Single,2116.8125,1338.1374399999988
16,Single,2696.9333333333334,1766.182940000014
17,Single,2426.733333333333,1160.4643666668078
18,Single,2616.75,1542.302046666373
19,Single,2887.4666666666667,1649.9751800006682
20,Single,3487.9333333333334,1492.9917733335362
21,Single,3968.2,1547.1590666663058
22,Multiple,1480.75,1330.5991133333387
23,Multiple,1969.4166666666667,1498.6478333333405
24,Multiple,3120.4166666666665,1997.2415266666455
25,Multiple,1176.7,1338.801493333449
26,Multiple,2160.7272727272725,1780.876733333207
27,Multiple,2547.7272727272725,1373.8547133333327
28,Multiple,1685.25,1609.0146533333307
29,Multiple,1746.090909090909,1268.6897666666785
30,Multiple,1656.4285714285713,2103.0041999999717
31,Multiple,1490.0,1497.8926600000098
32,Multiple,1700.0833333333333,1556.2989399999992
33,Multiple,1657.4615384615386,1430.4395933333203
34,Multiple,2219.3,1463.7053466666355
35,Multiple,1738.1818181818182,1760.4853533333273
36,Multiple,2218.8333333333335,1542.5416466666813
37,Multiple,1135.923076923077,2128.537446666648
