Metric,Condition,N,Mean,SD,Median,Min,Max
Accuracy (%),Single_Phone,21,95.7873407637684,5.564896140977286,96.875,81.75421052631579,100.0
Accuracy (%),Single_Lab,20,100.0,0.0,100.0,100.0,100.0
Accuracy (%),Multiple_Phone,16,96.37202617174492,2.5339784267062764,96.34762237762237,91.08076923076922,100.0
Accuracy (%),Multiple_Lab,14,98.2857142857143,2.4767539511041723,99.33333333333334,92.0,100.0
Reaction Time (ms/target),Single_Phone,21,2957.5548762397443,520.8196346684579,2887.4666666666667,2116.8125,3968.2
Reaction Time (ms/target),Single_Lab,20,1527.1131016667046,162.7070680335465,1525.5136933331341,1160.4643666668078,1865.4243666667755
Reaction Time (ms/target),Multiple_Phone,16,1191.4466413294872,236.89278195991633,1202.6487366799865,810.9986111111111,1815.123148148148
Reaction Time (ms/target),Multiple_Lab,14,1304.2103775634928,101.43816819403376,1321.2942965000018,1160.0773256666714,1474.3948866666492
